"Item_Number","Title","End_Time","Price","Ruler","Year","Mint","YI_Num","Description","Obverse_Image","Reverse_Image","Obverse_Text","Reverse_Text","Obverse_URL","Reverse_URL"
"301952528888","LANZ-Rumseldschuken-Dinar-Tughril-Tuerkei-Islam-WR6587-","17. Mai. 2016 19:08:50 MESZ","EUR 99,99","","","","","","301952528888o.jpg","301952528888r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dinar-Tughril-Tuerkei-Islam-WR6587-/00/s/NzkyWDc3OQ==/z/L4IAAOSw~oFXMNOo/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dinar-Tughril-Tuerkei-Islam-WR6587-/00/s/Nzk1WDc4OA==/z/0~4AAOSwQNRXMNOu/$_10.jpg"
"231940049493","LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6227-","17. Mai. 2016 19:06:44 MESZ","EUR 40,50","","","","","","231940049493o.jpg","231940049493r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6227-/00/s/NzEyWDczNg==/z/ISIAAOSwInxXMe1p/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6227-/00/s/NzQxWDcyNg==/z/X2EAAOSwy-5XMe1w/$_10.jpg"
"301952528777","LANZ-Rumseldschuken-Dinar-Tughril-Tuerkei-Islam-WR6586-","17. Mai. 2016 19:03:02 MESZ","EUR 53,00","","","","","","301952528777o.jpg","301952528777r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dinar-Tughril-Tuerkei-Islam-WR6586-/00/s/ODA4WDc5MA==/z/z9kAAOSwQNRXMNOa/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dinar-Tughril-Tuerkei-Islam-WR6586-/00/s/ODAyWDc5NQ==/z/TPwAAOSwPv9XMNOe/$_10.jpg"
"231940049376","LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6226-","17. Mai. 2016 19:01:46 MESZ","EUR 49,50","","","","","","231940049376o.jpg","231940049376r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6226-/00/s/NzQxWDczNQ==/z/BLsAAOSw~oFXMe1e/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6226-/00/s/NzI2WDc2MA==/z/rlQAAOSwBs1XMe1h/$_10.jpg"
"371623365125","LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6224-","17. Mai. 2016 18:56:05 MESZ","EUR 53,00","","","","","","371623365125o.jpg","371623365125r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6224-/00/s/NzUxWDc1Mw==/z/WtIAAOSwy-5XMe1T/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6224-/00/s/NzUxWDc2NQ==/z/qCEAAOSwubRXMe1X/$_10.jpg"
"371623365032","LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6223-","17. Mai. 2016 18:51:08 MESZ","EUR 45,17","","","","","","371623365032o.jpg","371623365032r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6223-/00/s/NzM1WDcyOA==/z/qtIAAOSwBs1XMe1H/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6223-/00/s/NzM3WDczMQ==/z/GF4AAOSw3mpXMe1L/$_10.jpg"
"301953232007","LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6222-","17. Mai. 2016 18:46:49 MESZ","EUR 52,89","","","","","","301953232007o.jpg","301953232007r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6222-/00/s/NzY3WDc3NQ==/z/qU4AAOSwcL5XMe05/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6222-/00/s/NzYyWDc4MQ==/z/uI0AAOSwNKVXMe08/$_10.jpg"
"371623364653","LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6221-","16. Mai. 2016 19:16:34 MESZ","EUR 90,00","","","","","","371623364653o.jpg","371623364653r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6221-/00/s/NzQwWDczNA==/z/5zwAAOSwYmZXMe0r/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6221-/00/s/NzMxWDczMg==/z/VlsAAOSwy-5XMe0w/$_10.jpg"
"371622258472","LANZ-Rumseldschuken-Dinar-Tughril-Tuerkei-Islam-WR6585-","16. Mai. 2016 19:13:13 MESZ","EUR 66,01","","","","","","371622258472o.jpg","371622258472r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dinar-Tughril-Tuerkei-Islam-WR6585-/00/s/ODEyWDgzMQ==/z/kvwAAOSw3zxXMNOO/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dinar-Tughril-Tuerkei-Islam-WR6585-/00/s/NzkzWDgyNA==/z/StkAAOSwPv9XMNOS/$_10.jpg"
"301953231744","LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6220-","16. Mai. 2016 19:11:14 MESZ","EUR 45,50","","","","","","301953231744o.jpg","301953231744r.jpg","","","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6220-/00/s/NzMzWDc0Mg==/z/ErsAAOSwg1pXMe0f/$_10.jpg","http://i.ebayimg.com/t/LANZ-Rumseldschuken-Dirham-Kay-Kobad-Tuerkei-Islam-WR6220-/00/s/NzM3WDc0MQ==/z/TowAAOSw1KxXMe0i/$_10.jpg"
